maxdepth,elevation_m,lake_area_m2,B2,B3,B4,B5,B6,B7,B10,B11
3.7,541.5930176,3930608.59,10013,9388,8279,7671.5,6037.5,5804,18369.5,17469
5.3,320.162323,1225589.551,10125,9454,8868,10083,6829,6743,20094,18928
1.5,294.1790161,561943.6013,9543,8833,7605,9370,6288,6002,18945,17743
14.3,315.5185547,293721.9613,14630,13514,14186,17002,7718,7215,16427,15791
1,319.6219788,2648262.163,10648,10296.5,9430.5,9178.5,6765,6721,17151.5,16344
19.5072,259.0834656,1021492.555,11194.5,10328,9668.5,10621,7271.5,6988,20897,19443.5
12.8016,271.7470093,1471835.202,10519,9384.5,9188,20074,11567.5,9054.5,20062,18949
36.6,402.9399719,56755772.42,11046.5,9943,9561,10188,6727.5,6731.5,18088,17067
7.9,167.776001,212656.9223,9582.5,8579.5,7714.5,14243,8752,6677.5,22034.5,20363.5
16.764,283.1827393,738924.3655,18825,17766,19050,19841,7933,7964,18419,17303
6.7,295.1489868,398602.9661,13992,12096.5,11667.5,15063.5,6954.5,6859.5,17459.5,16594
25,541.4890137,478270.0736,9857,9067,8935,13308,6877,6590,12988,12795
5.2,289.3739929,1277752.725,12998.5,11986,11276,11781,6179,5847.5,20502.5,19077.5
10.4,336.9629822,744079.0254,17126,16098,17028,17887,7580,7729,15589,14591
10.668,274.6380005,1496853.797,11395,10192,9850,14088,7723,6992,18518,17270
11.6,310.0329895,1549009.56,10185,9447,9023,14918,11963,9130,22014,20376
8.5344,278.4639893,154712.8824,15265,14682.5,13907.5,13526.5,7165.5,7203.5,21121,19630
23.5,406.7600098,7945983.687,13694.5,12994.5,12707.5,13610.5,6801,6695,18942,17568.5
4.76,273.032959,8646808.439,13900,12306,11970,17568,13144,10241,16857,16340
3.048,495.3299866,157101.1074,9391,8224,7469.5,16263.5,10097,7263,19129,18160
4.08,323.9636536,1566167.08,11461,10102,9165,9577,7316,6769,22782,20715
1.5,19.0896244,78553.97159,9428.5,8034,7413.5,7449,6479.5,6045.5,21656,20067.5
4.1,160.6579895,376264.3842,10112,8820,8366,10233,6114,5741,20370,18941
2.4,281.0820007,224384.8162,9100,7850,7066,8699,6111,5628,21088,19600
6.7056,385.9169922,427610.2493,14905.5,13886.5,14333,14032.5,7399,7256.5,18035.5,17180.5
7,201.378006,102967.9521,8895.5,8279,7403.5,18747,11391.5,7431,24222,21783.5
2.4,403.8699951,3734537.972,13537,12096,12218,13424,6975,7004,16240,15946
24.4,246.7980042,1131376.764,15801,14644,14974,16738.5,7880.5,7468,18025.5,17231
6.1,149.5970001,155562.6463,9627,8959,7422,18851,10885,7290,21141,19707
3.048,188.9799957,62944.0378,10104,9411,8325,9477,7201,6618,15146,14791
20.4,313.0799866,1049305.982,12454,11751,11269,10706,6526,6705,19147,17967
2.3,56.50000381,108423.6973,9110,8523,7583.5,14210.5,9878.5,7707.5,20590.5,18137.5
11.2776,250.2550049,91289.96205,10367,9156,8362,11330,7553,7152,16376,15314
16.1544,266.0230103,531201.923,12640,11619,10827,14354,7134,6963,17275,16279
2.1336,64.34999847,127725.1668,11267,10418,10241,16020,9035,6952,18202,17271
15,417.9840088,846674.3671,13119,12496,12327,13870,6867,6855,18114,17339
2.1,280.506012,1036995.129,19377,18702,18985,19771,7684,7852,14679,14108
13.4,237.7879944,3197829.697,10546,9723,9249,9089,5963,5918,21800,20571
9.7536,388.8829956,99654.69498,18684,17418,18069,20320,10362,9921,16441,15757
18.3,201.2219086,8376254.831,12253,11613,11255,18082,13153,11532,16007,14897
5.2,317.7690125,2763483.354,14151,13009,13106,16675,7287,7463,14728,13997
16.8,295.5258179,278526.6572,11827,11066.5,10463.5,13028.5,7240,6883,21736.5,19814
14.6,265.0700073,49798.22791,12579,11498.5,10712.5,11754,6712,6353,21123,19417.5
2.7,23.63255882,70844.84569,10085,9087,8580,16663,11666,8709,19421,17637
10.668,274.257019,572767.3497,9807,8569,7666,9417,6314.5,6181.5,17693,16847.5
16,296.0009766,993274.7049,9564,8517,7622,6715,6137,5911,20052,19033
2.7,545.4379883,1051191.165,13300,12408,12570,14431.5,8091,8098,13717.5,13688
18.3,162.2781982,59819.02108,13296.5,12312,11631,15478,6894,6669,21187,19122.5
5.5,374.007019,1901387.372,11825,10839,10789.5,13131.5,7367,7160.5,16824,16028.5
15.5448,288.5899963,1060223.796,12666.5,12050,12395,18155,12360,9466,21168,19570.5
18.5928,491.6439819,3349780.811,15167.5,13960,14345.5,15141,7014.5,7018,18263.5,17430
17,283.8339844,6762589.453,13397,11405,10868,14231,6848,7008,18301,17095
9.8,370.8110046,319476.107,12723,11781,11687,17148,11159,9207,15730,15484
11.207,278.946991,2376788.841,10496.5,9430,8718,10938,6667.5,6636,19592,18426.5
14,559.7509766,319711.249,13060,12176,12574.5,14982.5,8371,8285.5,13654,13593
6.7056,496.8469849,281271.0088,16413,15893,15512,17776,8678,8227,16876,16553
7.62,351.6199951,9780022.354,13121,12015,11737.5,13183,6603,6443.5,17392,16714.5
10.4,347.0669861,2067181.722,11724,10562,9966.5,11526,7050.5,6872.5,16524.5,15592.5
8.5344,477.0169678,232878.6471,16493,16065,17260,17501,7534,7549,17238,16441
1.8,316.4960022,324672.3413,10763.5,10580,9777,10428,6294.5,6165.5,19925,18776
10.4,275.8540039,319531.991,10834,9618,8661,10276,7314,6694,19354,18130
29.6,354.3590088,425889.7196,12170,10806,9894,12717,6618,6446,15244,14941
34.4,406.524292,22318431.13,12266.5,11221,11002.5,11257.5,6481,6602.5,19240.5,17797.5
10.09,281.79953,6130539.251,12332,11268,10478,17707,12333,10438,19786,18635
7,354.5599976,7180591.207,18011,16635,17390,17953,7000,6715,19656.5,18506
4,259.4698486,824047.0097,12066,11876,10686,13821,6533,6468,18328,17465
46.6,332.891571,2123504.45,16825,15446,16020,17055,7668,7656,13816,13666
11.2776,359.0740051,364811.4309,15380.5,14666,15359.5,17027.5,8173.5,7973.5,18213.5,17573
11.2776,255.9490204,157241.0934,14786,13719,13832,12691.5,7235,7076.5,18874,17964
